myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,disasterID,warehouseID,disasterLocation,transMode,numUnitsMoved,timeHours,costPerTon,distKm
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1985-0042,"Majuro, New Caledonia","Suva, Fiji",Air,398.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2009-0171,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,188.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1985-0043,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,128.0,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2001-0254,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,898.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2009-0200,"Majuro, New Caledonia","Avarua District, Cook Islands",Air,9.400000000000006,25.810639327770126,8718.524151961112,3486.383596662075
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1999-0502,"Majuro, New Caledonia","Alofi, Niue",Air,57.4,24.141194461433088,7506.507179000421,2484.716676859852
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1983-0071,"Majuro, New Caledonia","Pape'ete, French Polynesia",Air,770.0,27.696626699100975,10087.75098354731,4617.976019460586
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2002-0002,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,98.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2004-0004,"Majuro, New Caledonia","Alofi, Niue",Air,138.4,24.141194461433088,7506.507179000421,2484.716676859852
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2010-0106,"Majuro, New Caledonia","Suva, Fiji",Air,7818.2,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2012-0242,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,965.2,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0007,"Majuro, New Caledonia","Honiara, Solomon Islands",Air,16591.6,22.64364969524606,6419.289678748641,1586.1898171476373
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1998-0427,"Auckland, New Zealand","Pape'ete, French Polynesia",Air,98.0,26.828732847651608,9457.660047395068,4097.239708590964
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0006,"Majuro, New Caledonia","Funafuti, Tuvalu",Air,28.0,23.419404967116613,6982.488006126661,2051.6429802699686
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1983-0047,"Auckland, New Zealand","Suva, Fiji",Air,238.0,23.54790150625136,7075.776493538488,2128.7409037508164
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1988-0676,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,398.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2004-0150,"Majuro, New Caledonia","Palikir, Pohnpei, Micronesia",Air,93.19999999999982,25.6205931456944,8580.550623774132,3372.355887416639
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2008-0583,"Port Moresby, Papua New Guinea","Majuro Atoll, RMI",Air,118.0,25.397295268690613,8418.436365069385,3238.377161214368
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0049,"Port Moresby, Papua New Guinea","Hagatna, Guam",Air,12.2,24.276068518546705,7604.425744464908,2565.641111128023
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2012-0498,"Majuro, New Caledonia","Mata'utu, Wallis and Futuna",Air,248.4,23.488410644097268,7032.586127614616,2093.0463864583603
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2009-0039,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,1106.4,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2010-0120,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,116.0,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1991-0456,"Port Moresby, Papua New Guinea","Majuro Atoll, RMI",Air,1106.4,25.397295268690613,8418.436365069385,3238.377161214368
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2006-0073,"Majuro, New Caledonia","Suva, Fiji",Air,31.6,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1990-0003,"Auckland, New Zealand","Apia, Samoa",Air,238.0,24.83721416451673,8011.817483439145,2902.3284987100374
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1987-0048,"Auckland, New Zealand","Avarua District, Cook Islands",Air,238.0,25.02152655109424,8145.628276094417,3012.915930656543
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1987-0285,"Port Moresby, Papua New Guinea","Hagatna, Guam",Air,98.4,24.276068518546705,7604.425744464908,2565.641111128023
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0007,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,1106.4,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1977-0059,"Port Moresby, Papua New Guinea","Honiara, Solomon Islands",Air,198.2,22.340548191045656,6199.237986699145,1404.3289146273924
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1983-0113,"Majuro, New Caledonia","Apia, Samoa",Air,198.0,24.14542994145317,7509.582137495,2487.257964871901
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1992-0162,"Majuro, New Caledonia","Suva, Fiji",Air,398.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1946-0003,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,498.0,23.168303350218558,6800.188232258673,1900.9820101311352
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1990-0003,"Port Moresby, Papua New Guinea","Apia, Samoa",Air,1106.4,27.497741291079162,9943.360177323473,4498.644774647498
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1979-0033,"Majuro, New Caledonia","Suva, Fiji",Air,7178.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2001-0711,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,3298.0,23.168303350218558,6800.188232258673,1900.9820101311352
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1986-0052,XDummy,"Suva, Fiji",Truck,11783.000000000002,1000000.0,1000000.0,1000000.0
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1972-0059,"Majuro, New Caledonia","Suva, Fiji",Air,23998.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0024,"Majuro, New Caledonia","Port Vila, Vanuatu",Air,2399.0,20.902781527673387,5155.419389090879,541.668916604032
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1960-0008,"Majuro, New Caledonia","Alofi, Niue",Air,798.0,24.141194461433088,7506.507179000421,2484.716676859852
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:2000-0832,"Port Moresby, Papua New Guinea","Majuro Atoll, RMI",Air,41.6,25.397295268690613,8418.436365069385,3238.377161214368
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1973-0052,"Majuro, New Caledonia","Suva, Fiji",Air,998.0,22.22291063843519,6113.833123503948,1333.746383061114
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1973-0080,"Majuro, New Caledonia","Nuku'alofa, Tonga",Air,178.0,23.168303350218558,6800.188232258673,1900.9820101311352
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,138,KitchenSetGen,31215,Cost,Optimal,EmDat:1993-0134,"Majuro, New Caledonia","Mata'utu, Wallis and Futuna",Air,2.0,23.488410644097268,7032.586127614616,2093.0463864583603
