depotCity,depotCountry,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,disasterCity,disasterCountry,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Zagreb,Croatia,Croatia,"Zagreb, Croatia",45.8150108,15.981919,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Havana,Cuba,Cuba,"Havana, Cuba",23.0540698,-82.34518899999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Nicosia,Cyprus,Nicosia,Nicosia,35.166667,33.366667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Copenhagen,Denmark,Denmark,"Copenhagen, Denmark",55.6760968,12.5683371,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Djibouti,Djibouti,Djibouti,Djibouti,11.588333,43.145,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Roseau,Dominica,Dominica,"Roseau, Dominica",15.301389,-61.388333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Quito,Ecuador,Ecuador,"Quito, Ecuador",-0.1806532,-78.4678382,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Cairo,Egypt,Egypt,"Cairo, Cairo Governorate, Egypt",30.0444196,31.2357116,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,San Salvador,El Salvador,El Salvador,"San Salvador, El Salvador",13.6929403,-89.2181911,58,5684
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Malabo,Equatorial Guinea,Equatorial Guinea,"Malabo, Equatorial Guinea",3.75,8.783332999999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Asmara,Eritrea,Eritrea,"Asmara, Eritrea",15.333333,38.933333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tallinn,Estonia,Estonia,"Tallinn, Estonia",59.43696079999999,24.7535746,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Addis Ababa,Ethiopia,Ethiopia,"Addis Ababa, Ethiopia",8.9806034,38.7577605,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Suva,Fiji,Fiji,"Suva, Fiji",-18.1416,178.4419,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Helsinki,Finland,Finland,"Helsinki, Finland",60.17332440000001,24.9410248,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Paris,France,France,"Paris, France",48.856614,2.3522219,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Cayenne,French Guiana,French Guiana,"Cayenne, French Guiana",4.9227,-52.32689999999999,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Papeete,French Polynesia,French Polynesia,"Pape'ete, French Polynesia",-17.535,-149.5696,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Libreville,Gabon,Gabon,"Libreville, Gabon",0.3901,9.4544,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tbilisi,Georgia,Georgia,"Tbilisi, Georgia",41.716667,44.783333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Berlin,Germany,Germany,"Berlin, Germany",52.52000659999999,13.404954,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Accra,Ghana,Ghana,"Accra, Ghana",5.55,-0.2,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Athens,Greece,Greece,"Athens, Greece",37.983917,23.7293599,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,St. George's,Grenada,Grenada,"Saint Georges, Grenada",12.0560975,-61.7487996,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Hagatna,Guam,Guam,"Hagatna, Guam",13.4708908,144.7512782,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Guatemala City,Guatemala,Guatemala,"Guatemala City, Guatemala",14.613333,-90.53527799999999,56,5513
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Conakry,Guinea,Guinea,"Conakry, Guinea",9.509167,-13.712222,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Georgetown,Guyana,Guyana,"Georgetown, Guyana",6.8,-58.166667,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Port-au-Prince,Haiti,Haiti,"Port-au-Prince, Haiti",18.533333,-72.333333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Tegucigalpa,Honduras,Honduras,"Tegucigalpa, Honduras",14.0833,-87.2167,63,5956
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Budapest,Hungary,Hungary,"Budapest, Hungary",47.497912,19.040235,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Reykjavik,Iceland,Iceland,"Reykjavik, Iceland",64.133333,-21.933333,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,New Delhi,India,India,"New Delhi, Delhi, India",28.635308,77.22496,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Jakarta,Indonesia,Indonesia,"Jakarta, Indonesia",-6.2087634,106.845599,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Baghdad,Iraq,Iraq,"Baghdad, Iraq",33.325,44.422,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Dublin,Ireland,Ireland,"Dublin, Ireland",53.3498053,-6.2603097,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Jerusalem,Israel,Israel,"Jerusalem, Israel",31.768319,35.21371,1000000.0,1000000.0
Ottawa,Canada,Canada,"Ottawa, ON, Canada",45.4215296,-75.69719309999999,Rome,Italy,Italy,"Rome, Italy",41.8723889,12.4801802,1000000.0,1000000.0
