Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,Distance_km,DrivingTime_h
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Harrisburg , United States",United States,40.2731911,-76.8867008,1150.0,10.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Pierre , United States",United States,44.3683156,-100.3509665,2225.0,19.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Annapolis , United States",United States,38.9784453,-76.4921829,1080.0,10.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Concord , United States",United States,43.2081366,-71.5375718,1812.0,17.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Trenton , United States",United States,40.2170534,-74.7429384,1299.0,12.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Honolulu , United States",United States,21.3069444,-157.8583333,1000000.0,1000000.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Madison , United States",United States,43.0730517,-89.4012302,1397.0,12.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Nashville , United States",United States,36.1626638,-86.7816016,401.0,3.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Des Moines , United States",United States,41.6005448,-93.6091064,1450.0,13.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Atlanta , United States",United States,33.7489954,-84.3879824,0.0,0.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Saint Paul , United States",United States,44.9537029,-93.0899578,1805.0,16.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Columbus , United States",United States,39.9611755,-82.9987942,915.0,8.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Oklahoma City , United States",United States,35.4675602,-97.5164276,1365.0,12.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Frankfort , United States",United States,38.2009055,-84.8732835,655.0,6.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Topeka , United States",United States,39.0558235,-95.6890185,1390.0,12.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Denver , United States",United States,39.7392358,-104.990251,2259.0,20.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Jackson , United States",United States,32.2987573,-90.1848103,613.0,5.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Washington D.C. , United States",United States,38.9071923,-77.0368707,1027.0,9.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Baton Rouge , United States",United States,30.4582829,-91.1403196,846.0,7.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Richmond , United States",United States,37.5407246,-77.4360481,852.0,7.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Boston , United States",United States,42.3600825,-71.0588801,1732.0,16.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Hartford , United States",United States,41.7637111,-72.6850932,1574.0,14.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Providence , United States",United States,41.8239891,-71.4128343,1679.0,15.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Lincoln , United States",United States,40.8257625,-96.6851982,1600.0,14.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Little Rock , United States",United States,34.7464809,-92.2895948,836.0,7.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Augusta , United States",United States,33.4734978,-82.0105148,233.0,2.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Columbia , United States",United States,34.0007104,-81.0348144,344.0,3.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Lansing , United States",United States,42.732535,-84.5555347,1247.0,11.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Cheyenne , United States",United States,41.1399814,-104.8202462,2310.0,21.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Indianapolis , United States",United States,39.768403,-86.158068,859.0,7.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Salt Lake City , United States",United States,40.7607793,-111.8910474,3014.0,27.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"None , United States",United States,34.1657949,-118.3462545,3506.0,31.0
FEMA,Atlanta,United States,"Atlanta , United States",33.7489954,-84.3879824,2,"Santa Fe , United States",United States,35.6869752,-105.937799,2223.0,20.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Sacramento , United States",United States,38.5815719,-121.4943996,4390.0,40.0
FEMA,Washington D.C.,United States,"Washington D.C. , United States",38.9071923,-77.0368707,3,"Carson City , United States",United States,39.1637984,-119.7674034,4225.0,38.0
