Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Shepherd Islands,-17.074649,168.365189,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Tanna Island,-19.505233,169.353938,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Torres Islands,-13.244451,166.618161,1000000,1000000
Oxfam,Port Vila,Vanuatu,"Port Vila, Vanuatu - Oxfam",-17.756593,168.3131,Vanuatu,Vanua Lava Island,-13.835597,167.445095,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Ambae Island,-15.366142,167.814572,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Ambrym Island,-16.236908,168.157187,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Aneityum Island,-20.195206,169.807476,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Aniwa Islands,-19.25135,169.599552,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Efate Island,-17.640498,168.428964,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Epi Island,-16.733147,168.271542,0,0
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Erromango Island,-18.804354,169.151661,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Gaua Island,-14.273755,167.515452,1000000,1000000
Oxfam,Burumba,Vanuatu,"Burumba, Vanuatu - Oxfam",-16.724676,168.147114,Vanuatu,Maewo Island,-15.136524,168.120766,1000000,1000000
