Agency,NameCity,depotGglCountryAscii,depotGglAddressAscii,depotGglLat,depotGglLong,Order,disasterGglCountryAscii,disasterGglAddressAscii,disasterGglLat,disasterGglLong,drivingTime_hrs,distance_km
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Guam,"Hagatna, Guam",13.4708908,144.7512782,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Indonesia,"Jakarta, Indonesia",-6.2087634,106.845599,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Kiribati,"Bairiki, Kiribati",1.3290526,172.9790528,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,New Caledonia,"Noumea, New Caledonia",-22.2758,166.458,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,New Zealand,"Wellington, New Zealand",-41.2864603,174.776236,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Niue,"Alofi, Niue",-19.0553711,-169.9178709,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Palau,Palau,7.51498,134.58252,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Papua New Guinea,"Port Moresby, Papua New Guinea",-9.4438004,147.1802671,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Philippines,"Manila, Philippines",14.5995124,120.9842195,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Samoa,"Apia, Samoa",-13.833333,-171.75,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Tonga,"Nuku'alofa, Tonga",-21.133333,-175.2,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Tuvalu,"Funafuti, Tuvalu",-8.516667,179.216667,1000000,1000000
DFAT,Brisbane,Australia,"Brisbane, Australia",-27.383333,153.133333,1,Vanuatu,"Port Vila, Vanuatu",-17.7332512,168.3273245,1000000,1000000
DFAT,Sydney,Australia,"Sydney, Australia",-34.016667,151.116667,2,Wallis and Futuna,"Mata'utu, Wallis and Futuna",-13.2825091,-176.1764475,1000000,1000000
